feature,importance,user_id
sleep_hours,0.0,1
screen_time_minutes,0.0,1
academic_load_score,0.0,1
mood_score,0.0,1
sleep_3d_avg,0.0,1
screen_3d_avg,0.0,1
academic_3d_avg,0.0,1
sleep_7d_avg,0.0,1
screen_7d_avg,0.0,1
sleep_14d_avg,0.0,1
sleep_7d_std,0.0,1
screen_7d_std,0.0,1
sleep_lag1,0.0,1
screen_lag1,0.0,1
mood_lag1,0.0,1
sleep_lag2,0.0,1
screen_lag2,0.0,1
sleep_change,0.0,1
screen_change,0.0,1
sleep_change_2d,0.0,1
screen_per_sleep,0.2916378446625886,1
academic_per_sleep,0.7083621553374114,1
sleep_x_academic,0.0,1
screen_x_academic,0.0,1
sleep_debt_7d,0.0,1
sleep_efficiency,0.0,1
weekend_streak,0.0,1
is_weekend,0.0,1
is_exam_period,0.0,1
seasonal_stress,0.0,1
sleep_hours,0.28796580943822603,2
screen_time_minutes,0.0,2
academic_load_score,0.0,2
mood_score,0.0,2
sleep_3d_avg,0.0,2
screen_3d_avg,0.0,2
academic_3d_avg,0.0,2
sleep_7d_avg,0.0,2
screen_7d_avg,0.0,2
sleep_14d_avg,0.0,2
sleep_7d_std,0.0,2
screen_7d_std,0.0,2
sleep_lag1,0.0,2
screen_lag1,0.0,2
mood_lag1,0.0,2
sleep_lag2,0.0,2
screen_lag2,0.0,2
sleep_change,0.0,2
screen_change,0.0,2
sleep_change_2d,0.0,2
screen_per_sleep,0.0,2
academic_per_sleep,0.0,2
sleep_x_academic,0.0,2
screen_x_academic,0.0,2
sleep_debt_7d,0.0,2
sleep_efficiency,0.712034190561774,2
weekend_streak,0.0,2
is_weekend,0.0,2
is_exam_period,0.0,2
seasonal_stress,0.0,2
sleep_hours,0.0,3
screen_time_minutes,0.038656269635336846,3
academic_load_score,0.011018555520175952,3
mood_score,0.0,3
sleep_3d_avg,0.0,3
screen_3d_avg,0.0,3
academic_3d_avg,0.0,3
sleep_7d_avg,0.0,3
screen_7d_avg,0.0,3
sleep_14d_avg,0.0,3
sleep_7d_std,0.0,3
screen_7d_std,0.0,3
sleep_lag1,0.0,3
screen_lag1,0.03981486279162678,3
mood_lag1,0.0,3
sleep_lag2,0.015333798476352264,3
screen_lag2,0.028699194295601953,3
sleep_change,0.0,3
screen_change,0.0,3
sleep_change_2d,0.0,3
screen_per_sleep,0.0,3
academic_per_sleep,0.12628329681145137,3
sleep_x_academic,0.0,3
screen_x_academic,0.0,3
sleep_debt_7d,0.0,3
sleep_efficiency,0.2572696481150275,3
weekend_streak,0.0,3
is_weekend,0.0,3
is_exam_period,0.4829243743544273,3
seasonal_stress,0.0,3
sleep_hours,0.0,4
screen_time_minutes,0.0,4
academic_load_score,0.09436271337351737,4
mood_score,0.0,4
sleep_3d_avg,0.0,4
screen_3d_avg,0.0,4
academic_3d_avg,0.007796108231607113,4
sleep_7d_avg,0.03418348508985537,4
screen_7d_avg,0.08757362474474997,4
sleep_14d_avg,0.0,4
sleep_7d_std,0.0,4
screen_7d_std,0.0,4
sleep_lag1,0.0,4
screen_lag1,0.0,4
mood_lag1,0.0,4
sleep_lag2,0.0,4
screen_lag2,0.0,4
sleep_change,0.0,4
screen_change,0.037042705539326336,4
sleep_change_2d,0.0,4
screen_per_sleep,0.03620959880042899,4
academic_per_sleep,0.4275298014819975,4
sleep_x_academic,0.013719336029612741,4
screen_x_academic,0.0,4
sleep_debt_7d,0.0,4
sleep_efficiency,0.22841536761385534,4
weekend_streak,0.0,4
is_weekend,0.0,4
is_exam_period,0.0331672590950492,4
seasonal_stress,0.0,4
sleep_hours,0.0,5
screen_time_minutes,0.005076522042689554,5
academic_load_score,0.0,5
mood_score,0.0,5
sleep_3d_avg,0.01619675711938022,5
screen_3d_avg,0.0,5
academic_3d_avg,0.0,5
sleep_7d_avg,0.0,5
screen_7d_avg,0.0,5
sleep_14d_avg,0.0,5
sleep_7d_std,0.0,5
screen_7d_std,0.0,5
sleep_lag1,0.0,5
screen_lag1,0.01743488252354665,5
mood_lag1,0.0,5
sleep_lag2,0.030057767990552486,5
screen_lag2,0.02821288405199406,5
sleep_change,0.0,5
screen_change,0.0,5
sleep_change_2d,0.04974559348617211,5
screen_per_sleep,0.0,5
academic_per_sleep,0.6328643064837608,5
sleep_x_academic,0.0,5
screen_x_academic,0.16424201161545504,5
sleep_debt_7d,0.0,5
sleep_efficiency,0.0,5
weekend_streak,0.0,5
is_weekend,0.0,5
is_exam_period,0.05616927468644913,5
seasonal_stress,0.0,5
sleep_hours,0.0,6
screen_time_minutes,0.0,6
academic_load_score,0.0,6
mood_score,0.0,6
sleep_3d_avg,0.0,6
screen_3d_avg,0.02480764357319166,6
academic_3d_avg,0.016641666003180414,6
sleep_7d_avg,0.0,6
screen_7d_avg,0.0,6
sleep_14d_avg,0.03467735750300401,6
sleep_7d_std,0.0,6
screen_7d_std,6.944909647370275e-17,6
sleep_lag1,0.0,6
screen_lag1,0.0,6
mood_lag1,0.0,6
sleep_lag2,0.03408297577750271,6
screen_lag2,0.0,6
sleep_change,0.0,6
screen_change,0.02943690676000795,6
sleep_change_2d,0.0,6
screen_per_sleep,0.0,6
academic_per_sleep,0.514919365867541,6
sleep_x_academic,0.0,6
screen_x_academic,0.1294395768773221,6
sleep_debt_7d,0.0,6
sleep_efficiency,0.09498123507245644,6
weekend_streak,0.0,6
is_weekend,0.0,6
is_exam_period,0.12101327256579367,6
seasonal_stress,0.0,6
sleep_hours,0.0,7
screen_time_minutes,0.0,7
academic_load_score,0.8965879448127988,7
mood_score,0.0,7
sleep_3d_avg,0.0,7
screen_3d_avg,0.0,7
academic_3d_avg,0.0,7
sleep_7d_avg,0.0,7
screen_7d_avg,0.0,7
sleep_14d_avg,0.0,7
sleep_7d_std,0.0,7
screen_7d_std,0.0,7
sleep_lag1,0.0,7
screen_lag1,0.0,7
mood_lag1,0.0,7
sleep_lag2,0.0,7
screen_lag2,0.0,7
sleep_change,0.0,7
screen_change,0.0,7
sleep_change_2d,0.0,7
screen_per_sleep,0.0,7
academic_per_sleep,0.10341205518720123,7
sleep_x_academic,0.0,7
screen_x_academic,0.0,7
sleep_debt_7d,0.0,7
sleep_efficiency,0.0,7
weekend_streak,0.0,7
is_weekend,0.0,7
is_exam_period,0.0,7
seasonal_stress,0.0,7
sleep_hours,0.0,8
screen_time_minutes,0.0,8
academic_load_score,0.0,8
mood_score,0.0,8
sleep_3d_avg,0.0,8
screen_3d_avg,0.0,8
academic_3d_avg,0.0,8
sleep_7d_avg,0.0,8
screen_7d_avg,0.0,8
sleep_14d_avg,0.0,8
sleep_7d_std,0.0,8
screen_7d_std,0.0,8
sleep_lag1,0.0,8
screen_lag1,0.0,8
mood_lag1,0.0,8
sleep_lag2,0.0,8
screen_lag2,0.0,8
sleep_change,0.0,8
screen_change,0.0,8
sleep_change_2d,0.0,8
screen_per_sleep,0.16890441438318776,8
academic_per_sleep,0.0,8
sleep_x_academic,0.0,8
screen_x_academic,0.09208065793813727,8
sleep_debt_7d,0.0,8
sleep_efficiency,0.0,8
weekend_streak,0.0,8
is_weekend,0.0,8
is_exam_period,0.739014927678675,8
seasonal_stress,0.0,8
sleep_hours,0.0,9
screen_time_minutes,0.0,9
academic_load_score,0.0,9
mood_score,0.0,9
sleep_3d_avg,0.0,9
screen_3d_avg,0.0,9
academic_3d_avg,0.0,9
sleep_7d_avg,0.0,9
screen_7d_avg,0.0,9
sleep_14d_avg,0.0,9
sleep_7d_std,0.0,9
screen_7d_std,0.03979753408441237,9
sleep_lag1,0.0,9
screen_lag1,0.0,9
mood_lag1,0.0,9
sleep_lag2,0.08722418036311964,9
screen_lag2,0.0,9
sleep_change,0.0,9
screen_change,0.03390463497969195,9
sleep_change_2d,0.0,9
screen_per_sleep,0.5992059879468625,9
academic_per_sleep,0.04023819492199118,9
sleep_x_academic,0.0,9
screen_x_academic,0.13359504077867507,9
sleep_debt_7d,0.0,9
sleep_efficiency,0.06603442692524727,9
weekend_streak,0.0,9
is_weekend,0.0,9
is_exam_period,0.0,9
seasonal_stress,0.0,9
sleep_hours,0.0,10
screen_time_minutes,0.0,10
academic_load_score,0.03817673112964784,10
mood_score,0.0,10
sleep_3d_avg,0.0,10
screen_3d_avg,0.0,10
academic_3d_avg,0.043985488860092736,10
sleep_7d_avg,0.0,10
screen_7d_avg,0.0,10
sleep_14d_avg,0.0311931131269596,10
sleep_7d_std,0.0,10
screen_7d_std,0.0,10
sleep_lag1,0.0,10
screen_lag1,0.0,10
mood_lag1,0.0,10
sleep_lag2,0.0,10
screen_lag2,0.031114410615779357,10
sleep_change,0.07401511392887057,10
screen_change,0.043937651358218976,10
sleep_change_2d,0.0,10
screen_per_sleep,0.0,10
academic_per_sleep,0.141150126010708,10
sleep_x_academic,0.0,10
screen_x_academic,0.5200838967064013,10
sleep_debt_7d,0.0,10
sleep_efficiency,0.0,10
weekend_streak,0.0,10
is_weekend,0.0,10
is_exam_period,0.07634346826332139,10
seasonal_stress,0.0,10
sleep_hours,0.0,11
screen_time_minutes,0.0,11
academic_load_score,0.0,11
mood_score,0.0,11
sleep_3d_avg,0.0,11
screen_3d_avg,0.0,11
academic_3d_avg,0.0,11
sleep_7d_avg,0.0,11
screen_7d_avg,0.0,11
sleep_14d_avg,0.0,11
sleep_7d_std,0.0,11
screen_7d_std,0.0,11
sleep_lag1,0.0,11
screen_lag1,0.0,11
mood_lag1,0.0,11
sleep_lag2,0.0,11
screen_lag2,0.0,11
sleep_change,0.0,11
screen_change,0.0,11
sleep_change_2d,0.0,11
screen_per_sleep,0.06310460159165421,11
academic_per_sleep,0.0,11
sleep_x_academic,0.0,11
screen_x_academic,0.17442471704739765,11
sleep_debt_7d,0.0,11
sleep_efficiency,0.0,11
weekend_streak,0.0,11
is_weekend,0.0,11
is_exam_period,0.7624706813609482,11
seasonal_stress,0.0,11
sleep_hours,0.0,12
screen_time_minutes,0.0820935336501651,12
academic_load_score,0.0,12
mood_score,0.0,12
sleep_3d_avg,0.0,12
screen_3d_avg,0.0,12
academic_3d_avg,0.0,12
sleep_7d_avg,0.0,12
screen_7d_avg,0.0,12
sleep_14d_avg,0.0,12
sleep_7d_std,0.0,12
screen_7d_std,0.0,12
sleep_lag1,0.0,12
screen_lag1,0.0,12
mood_lag1,0.0,12
sleep_lag2,0.0,12
screen_lag2,0.0,12
sleep_change,0.0,12
screen_change,0.0,12
